Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
La Lajita|BUENOS AIRES|EL RAQUE|PALO CAIDO
Baron Germania|EL RAQUE||EL ARRAYAN GUAYABO
Runta|EL CAMPAMENTO VD RUNTA|LC 4|LA MELGA
Runta|EL ALJIBE|EL CAMPAMENTO VD RUNTA|EL RECUERDO
Runta|LC 4|EL CAMPAMENTO VD RUNTA|LC 4
Runta Parte Alta|LA CUADRA|LAS MANITAS|LC 2
Chorro Blanco - La Primavera|EL CARMEN||EL CARMEN
Runta|LA UNION|TRAYECTO 12|LA CANADITA
Runta|EL ALJIBE||LA PRADERA
La Lajita|MJ||MJ
La Lajita|LAS MANITAS|LA PI|LAS MANITAS
La Lajita|SAN JOSE|TINJACA|EL DIAMANTE
La Lajita|SAN JOSE|EL ARRABAL|EL TESORITO
Baron Germania|BUENOS AIRES|CA|LA ARRINCONADA
Chorro Blanco - La Primavera|EL ARRAYAN||ESCUELA
Baron Gallero|COREA||SAN CAYETANO
Baron Gallero|EL EDEN|COREA|EL PINO
Baron Germania|MALMO||MALMO
La Lajita||LA PALMA|EL PEDREGAL
La Lajita|EL MORTINO|EL MANANTIAL|LA LAJITA
La Lajita|LAS MANITAS|EL ARRABAL|EL DURAZNO CORRALES
La Lajita|LAS MANITAS|EL VOLADOR|BUENAVISTA
La Lajita|SAN JOSE|LAS MANITAS|LA CABANA 3
La Lajita|EL CURUBAL|LA PALMA|XXX
La Lajita|EL CARMEN|BUENOS AIRES|LA PENA
La Lajita|EL CARMEN|BUENOS AIRES|LA PENITA
La Lajita|EL CURUBAL|B|LA PLANADA
Baron Gallero|SANTA LUCIA|EL ARRABAL|PINO
Runta|EL CAMPAMENTO VD RUNTA|EL ARRABAL|XXX
Baron Gallero|EL EDEN|SAN JUAN|BARON
Baron Gallero|SANTA LUCIA||SANTA ELENA
La Hoya|EL RAQUE|EL ARRABAL|LOS ARRAYANES
La Hoya|SAN CAYETANO|LA PLAYA|EL ROSAL
La Hoya|LA PLAYA|SAN CAYETANO|EL VERGEL
La Hoya|LA CABAA|LA PLAYA|BUENAVISTA
La Hoya||EL ESPINAL|EL RUBI
La Hoya|LA HOYA|EL ARRABAL|EL GUAMO
La Hoya|LA HOYA||LC 3
Chorro Blanco - La Primavera|EL CAMPAMENTO VD RUNTA|QUEBRADA HONDA|EL EUCALIPTAL
Runta|EL CAMPAMENTO VD RUNTA|LOS ENCENILLOS|LOS ROMERITOS
Runta|EL CAMPAMENTO VD RUNTA|EL ARRABAL|LT 5
Chorro Blanco - La Primavera|LA LAGUNA|LA GUAJIRA|LA CANUELA
Runta|EL CAMPAMENTO VD RUNTA|LC 4|LAS LAGUNAS
Runta||TRAYECTO 12|LA SALVIA
Runta|EL CAMPAMENTO VD RUNTA|LA CANADA DE SILVIA CHIQUITA|EL PARAMO LC 2
Runta|EL CAMPAMENTO VD RUNTA|EL ARRABAL|LC 3
Chorro Blanco - La Primavera||EL CARDON|PATIO DE BOLAS
Porvenir|SOL Y SOMBRA|EL BANCO|LA FORTUNA
Chorro Blanco - La Primavera|EL ALIZAL||BTS 10 E004A
